::1 - - [03/Feb/2023:16:26:08 +0000] "POST /api/user/buy HTTP/1.1" 500 77 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:16:45:38 +0000] "POST /api/user/buy HTTP/1.1" 201 283 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:16:49:52 +0000] "POST /api/user/sell HTTP/1.1" 201 283 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:16:49:54 +0000] "POST /api/user/sell HTTP/1.1" 201 283 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:16:51:11 +0000] "POST /api/user/sell HTTP/1.1" 201 283 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:16:51:13 +0000] "POST /api/user/sell HTTP/1.1" 201 283 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:18:17 +0000] "POST /api/user/register-fund HTTP/1.1" 500 310 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:18:42 +0000] "POST /api/user/register-fund HTTP/1.1" 201 120 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:21:06 +0000] "POST /api/user/register-fund HTTP/1.1" 500 310 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:21:27 +0000] "POST /api/user/register-fund HTTP/1.1" 200 292 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:23:02 +0000] "POST /api/user/register-fund HTTP/1.1" 500 51 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:33:42 +0000] "POST /api/user/sign-up HTTP/1.1" 201 246 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:33:54 +0000] "POST /api/user/login HTTP/1.1" 201 488 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:35:01 +0000] "GET /api/fund HTTP/1.1" 201 623 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:35:16 +0000] "POST /api/user/buy HTTP/1.1" 500 64 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:36:27 +0000] "POST /api/user/register-fund HTTP/1.1" 201 120 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:36:59 +0000] "POST /api/user/register-fund HTTP/1.1" 500 51 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:37:13 +0000] "GET /api/fund HTTP/1.1" 201 623 "-" "PostmanRuntime/7.30.1"
::1 - - [03/Feb/2023:18:38:21 +0000] "POST /api/fund HTTP/1.1" 201 566 "-" "PostmanRuntime/7.30.1"
